Gazette_ID,Published_Date,Product_Title,Category,Data_Key,Data_Value,S_No
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Parameters,"Organic carbon per cent. by weight, minimum",(iii)
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Value,1,(iii)
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Parameters,pH (1 % aqueous solution),(iv)
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Value,9-10,(iv)
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Parameters,Bulk density (gram/cc),(v)
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Value,1.2-1.4,(v)
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Parameters,"Solubility per cent. by weight, minimum",(vi)
265414_14_Aug_2025,14-Aug-2025,(22) Seaweed (Sargassum wightii) extract 5 % (Granuler),Specifications,Value,5,(vi)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Ingredients,"Seaweed (Kappaphycus alvarezii) extract per cent. by volume, minimum",(i)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Content,17,(i)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Ingredients,"Organic acids (acetic acid, citric acid and lactic acid) per cent. by volume, minimum",(ii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Content,2.5,(ii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Ingredients,Water per cent. by volume,(iii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Content,QS,(iii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Ingredients,Total (per cent.),(iv)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Composition,Content,100,(iv)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Parameters,"Carrageenan per cent. by weight, minimum",(i)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Value,4.2,(i)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Parameters,"Carbohydrates per cent. by weight, minimum",(ii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Value,6.2,(ii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Parameters,pH (50 % aqueous solution),(iii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Value,3- 5,(iii)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Parameters,Specific gravity,(iv)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Value,1.10- 1.15,(iv)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Parameters,"Solubility per cent. by weight, minimum",(v)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Value,98,(v)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Parameters,"Total organic carbon per cent. by weight, minimum",(vi)
265414_14_Aug_2025,14-Aug-2025,(25) Seaweed (Kappaphycus alvarezii) extract- 17% (Liquid),Specifications,Value,4.8,(vi)
